26934,120000,2,2,1,38,0,0,0,0,0,0,100000,110000,120000,130000,140000,150000,5000,6000,7000,8000,9000,10000,0
29001,150000,1,3,2,42,1,2,2,2,2,2,120000,130000,140000,150000,160000,170000,6000,7000,8000,9000,10000,11000,1
11111,180000,2,1,1,35,0,0,0,0,0,0,150000,160000,170000,180000,190000,200000,7000,8000,9000,10000,11000,12000,0
14058,20000,1,2,2,29,2,2,2,2,2,2,20000,21000,22000,23000,24000,25000,8000,9000,10000,11000,12000,13000,1
19876,250000,2,3,1,46,0,0,0,0,0,0,200000,210000,220000,230000,240000,250000,9000,10000,11000,12000,13000,14000,0
16732,30000,1,1,2,31,1,2,0,0,0,0,25000,26000,27000,28000,29000,30000,10000,11000,12000,13000,14000,15000,1
21543,120000,2,2,1,39,0,0,0,0,0,0,110000,120000,130000,140000,150000,160000,11000,12000,13000,14000,15000,16000,0
25310,200000,1,3,1,44,2,2,2,2,2,2,120000,130000,140000,150000,160000,170000,12000,13000,14000,15000,16000,17000,1
10345,150000,2,1,2,27,0,0,0,0,0,0,130000,140000,150000,160000,170000,180000,13000,14000,15000,16000,17000,18000,0
21987,180000,1,2,1,41,1,-1,-1,-1,-1,-1,140000,150000,160000,170000,180000,190000,14000,15000,16000,17000,18000,19000,1
